Sensor ID,Name
7940,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6]
9984,Eth-1/15_JIO_ILL_2G_CKT_ID_9336024697_778740107172
7943,Eth1/16_GW-182.78.48.9_AIRTEL_to 0/0/0/5_100.64.88.10_CKT_ID-230621100032262
11142,(001) sfp-sfpplus1-TATA Traffic
11143,(002) sfp-sfpplus2-AIRTEL Traffic
11144,(003) sfp-sfpplus3-JIO Traffic
11145,(004) sfp-sfpplus4 Traffic
11146,(005) sfp-sfpplus5 Traffic
11147,(006) sfp-sfpplus6 Traffic
11153,(001) sfp-sfpplus1-TATA Traffic
11154,(002) sfp-sfpplus2-AIRTEL Traffic
11155,(003) sfp-sfpplus3-JIO Traffic
11156,(004) sfp-sfpplus4 Traffic
11157,(005) sfp-sfpplus5 Traffic
11158,(006) sfp-sfpplus6 Traffic
9930,(001) BKC_TCL_121.241.40.250_Traffic
9931,(031) WAN_Bridge Traffic
10079,(005) RAGHUNANDAN 121.241.40.254 Traffic
10917,(006) EASTINDIA 121.241.40.253 Traffic
10918,(007) KIFS 121.241.40.252 Traffic
10919,(008) AFFILIANCE 121.241.40.251 Traffic
11015,Loopback: 10.10.223.1
11014,Mgmt: 192.168.101.223 Eth-13_to_???????
10108,TCL_BGP: 14.143.129.180 Port:SFP+_01 (Bandwidth - 1 Gbps) [192.168.101.147_SFP+_16]
10109,Airtel-182.78.48.12 SFP+_02 _to_ 192.168.101.24x_Eth-?
10110,Jio-115.243.72.4 SFP+_03 _to_ 192.168.101.24x_Eth-?
10947,OSPF: 172.16.15.223 Eth-3 to MT-224_Eth-3: 172.16.15.224
10119,Mgmt: 192.168.101.224 Eth-13_to_???????
10125,Loopback: 10.10.224.1
10120,TCL-14.143.129.181 SFP+_01 _to_ 192.168.101.24x_Eth-?
10121,Airtel-182.78.48.13 SFP+_02 _to_ 192.168.101.24x_Eth-?
10122,Jio-115.243.72.5 SFP+_03 _to_ 192.168.101.24x_Eth-?
10948,OSPF: 172.16.15.224 Eth-3 to MT-224_Eth-3: 172.16.15.223
