"Device","Device(RAW)","Host","Host(RAW)","ID","ID(RAW)","Parent ID","Parent ID(RAW)"
"(fwp-tp-10-112-11-247)(10.112.11.247) [FortiGate-200F] @Rack_ [ ]","(fwp-tp-10-112-11-247)(10.112.11.247) [FortiGate-200F] @Rack_ [ ]","10.112.11.247","10.112.11.247","9770","9770","5495","5495"
"(fws-tp-10-112-11-248)(10.112.11.248) [FortiGate-200F] @Rack_ [ ]","(fws-tp-10-112-11-248)(10.112.11.248) [FortiGate-200F] @Rack_ [ ]","10.112.11.248","10.112.11.248","9794","9794","5495","5495"
"{asr-wr-jp-172-60-60-221} (172.60.60.221) [Cisco ASR1002-X Chassis] @Rack_05 [CDC-105]","{asr-wr-jp-172-60-60-221} (172.60.60.221) [Cisco ASR1002-X Chassis] @Rack_05 [CDC-105]","172.60.60.221","172.60.60.221","7977","7977","5518","5518"
"{asr-wr-jp-172-60-60-222} (172.60.60.222) [Cisco ASR1002-X Chassis] @Rack_06 [CDC-105]","{asr-wr-jp-172-60-60-222} (172.60.60.222) [Cisco ASR1002-X Chassis] @Rack_06 [CDC-105]","172.60.60.222","172.60.60.222","7991","7991","5518","5518"
"{asr-wr-jp-172-60-60-223} (172.60.60.223) [Cisco ASR1002-X Chassis] @Rack_05 [CDC-105]","{asr-wr-jp-172-60-60-223} (172.60.60.223) [Cisco ASR1002-X Chassis] @Rack_05 [CDC-105]","172.60.60.223","172.60.60.223","8004","8004","5518","5518"
"{asr-wr-jp-172-60-60-224} (172.60.60.224) [Cisco ASR1002-X Chassis] @Rack_06 [CDC-105]","{asr-wr-jp-172-60-60-224} (172.60.60.224) [Cisco ASR1002-X Chassis] @Rack_06 [CDC-105]","172.60.60.224","172.60.60.224","8005","8005","5518","5518"
"{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ]","{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ]","121.241.40.250","121.241.40.250","9927","9927","5492","5492"
"{cust-gc-10-111-11-205} (10.111.11.205) [Cisco-Nexus 3048 Chassis] @Rack_XX","{cust-gc-10-111-11-205} (10.111.11.205) [Cisco-Nexus 3048 Chassis] @Rack_XX","10.111.11.205","10.111.11.205","5554","5554","5515","5515"
"{cust-gc-10-111-11-206} (10.111.11.206) [Cisco-Nexus 3048 Chassis] @Rack_XX","{cust-gc-10-111-11-206} (10.111.11.206) [Cisco-Nexus 3048 Chassis] @Rack_XX","10.111.11.206","10.111.11.206","5555","5555","5515","5515"
"{cust-gc-10-111-11-211} (10.111.11.211) [Cisco-Nexus 3064 Chassis] @Rack_XX","{cust-gc-10-111-11-211} (10.111.11.211) [Cisco-Nexus 3064 Chassis] @Rack_XX","10.111.11.211","10.111.11.211","5552","5552","5515","5515"
"{cust-gc-10-111-11-212} (10.111.11.212) [Cisco-Nexus 3064 Chassis] @Rack_XX","{cust-gc-10-111-11-212} (10.111.11.212) [Cisco-Nexus 3064 Chassis] @Rack_XX","10.111.11.212","10.111.11.212","5553","5553","5515","5515"
"{cust-jp-10-100-11-201} (10.100.11.201) [Cisco-Nexus 3048 Chassis] @Rack_01 [CDC-105]","{cust-jp-10-100-11-201} (10.100.11.201) [Cisco-Nexus 3048 Chassis] @Rack_01 [CDC-105]","10.100.11.201","10.100.11.201","5573","5573","5521","5521"
"{cust-jp-10-100-11-202} (10.100.11.202) [Cisco-Nexus 3048 Chassis] @Rack_04 [CDC-105]","{cust-jp-10-100-11-202} (10.100.11.202) [Cisco-Nexus 3048 Chassis] @Rack_04 [CDC-105]","10.100.11.202","10.100.11.202","5574","5574","5521","5521"
"{cust-jp-10-100-11-203} (10.100.11.203) [Cisco-Nexus 3048 Chassis] @Rack_02 [CDC-105]","{cust-jp-10-100-11-203} (10.100.11.203) [Cisco-Nexus 3048 Chassis] @Rack_02 [CDC-105]","10.100.11.203","10.100.11.203","5575","5575","5521","5521"
"{cust-jp-10-100-11-204} (10.100.11.204) [Cisco-Nexus 3048 Chassis] @Rack_03 [CDC-105]","{cust-jp-10-100-11-204} (10.100.11.204) [Cisco-Nexus 3048 Chassis] @Rack_03 [CDC-105]","10.100.11.204","10.100.11.204","5576","5576","5521","5521"
"{cust-jp-10-100-11-205} (10.100.11.205) [Cisco-Nexus 3048 Chassis] @Rack_TCL_MUX [CDC-101]","{cust-jp-10-100-11-205} (10.100.11.205) [Cisco-Nexus 3048 Chassis] @Rack_TCL_MUX [CDC-101]","10.100.11.205","10.100.11.205","5577","5577","5521","5521"
"{cust-jp-10-100-11-206} (10.100.11.206) [Cisco-Nexus 3048 Chassis] @Rack_AIRTEL_MUX [CDC-101]","{cust-jp-10-100-11-206} (10.100.11.206) [Cisco-Nexus 3048 Chassis] @Rack_AIRTEL_MUX [CDC-101]","10.100.11.206","10.100.11.206","5578","5578","5521","5521"
"{cust-jp-10-100-11-207} (10.100.11.207) [Cisco-Nexus 3048 Chassis] @Rack_XX","{cust-jp-10-100-11-207} (10.100.11.207) [Cisco-Nexus 3048 Chassis] @Rack_XX","10.100.11.207","10.100.11.207","5579","5579","5521","5521"
"{cust-jp-10-100-11-208} (10.100.11.208) [Cisco-Nexus 3048 Chassis] @Rack_XX","{cust-jp-10-100-11-208} (10.100.11.208) [Cisco-Nexus 3048 Chassis] @Rack_XX","10.100.11.208","10.100.11.208","5580","5580","5521","5521"
"{cust-jp-10-100-11-211} (10.100.11.211) [Cisco-Nexus5548 Chassis] @Rack_02 [CDC-104]","{cust-jp-10-100-11-211} (10.100.11.211) [Cisco-Nexus5548 Chassis] @Rack_02 [CDC-104]","10.100.11.211","10.100.11.211","5581","5581","5521","5521"
"{cust-jp-10-100-11-212} (10.100.11.212) [Cisco-Nexus5548 Chassis] @Rack_03 [CDC-104]","{cust-jp-10-100-11-212} (10.100.11.212) [Cisco-Nexus5548 Chassis] @Rack_03 [CDC-104]","10.100.11.212","10.100.11.212","5582","5582","5521","5521"
"{cust-jp-10-100-11-213} (10.100.11.213) [Cisco-Nexus5548 Chassis] @Rack_02 [CDC-104]","{cust-jp-10-100-11-213} (10.100.11.213) [Cisco-Nexus5548 Chassis] @Rack_02 [CDC-104]","10.100.11.213","10.100.11.213","5583","5583","5521","5521"
"{cust-jp-10-100-11-214} (10.100.11.214) [Cisco-Nexus5548 Chassis] @Rack_03 [CDC-104]","{cust-jp-10-100-11-214} (10.100.11.214) [Cisco-Nexus5548 Chassis] @Rack_03 [CDC-104]","10.100.11.214","10.100.11.214","5584","5584","5521","5521"
"{cust-tp-10-112-11-205} (10.112.11.205) [CISCO-Nexus 3048 Chassis] @Rack_L16 [TP-GF]","{cust-tp-10-112-11-205} (10.112.11.205) [CISCO-Nexus 3048 Chassis] @Rack_L16 [TP-GF]","10.112.11.205","10.112.11.205","2795","2795","9923","9923"
"{cust-tp-10-112-11-207} (10.112.11.207) [CISCO-Nexus 3048 Chassis] @Rack_K16 [TP-GF]","{cust-tp-10-112-11-207} (10.112.11.207) [CISCO-Nexus 3048 Chassis] @Rack_K16 [TP-GF]","10.112.11.207","10.112.11.207","3386","3386","9923","9923"
"{cust-tp-10-112-11-208} (10.112.11.208) [CISCO-Nexus 3048 Chassis] @Rack_K17 [TP-GF]","{cust-tp-10-112-11-208} (10.112.11.208) [CISCO-Nexus 3048 Chassis] @Rack_K17 [TP-GF]","10.112.11.208","10.112.11.208","3388","3388","9923","9923"
"{cust-tp-10-112-11-211} (10.112.11.211) [CISCO-Nexus 5596 Chassis] @Rack_L16 [TP-GF]","{cust-tp-10-112-11-211} (10.112.11.211) [CISCO-Nexus 5596 Chassis] @Rack_L16 [TP-GF]","10.112.11.211","10.112.11.211","5061","5061","9923","9923"
"{cust-tp-10-112-11-212} (10.112.11.212) [Cisco-Nexus 5596 Chassis] @Rack_XX","{cust-tp-10-112-11-212} (10.112.11.212) [Cisco-Nexus 5596 Chassis] @Rack_XX","10.112.11.212","10.112.11.212","9748","9748","9923","9923"
"{fwp-gc-10-111-11-241} (10.111.11.241) [FortiGate-100F] @Rack_XX","{fwp-gc-10-111-11-241} (10.111.11.241) [FortiGate-100F] @Rack_XX","10.111.11.241","10.111.11.241","4497","4497","5516","5516"
"{fwp-gc-10-111-11-243} (10.111.11.243) [FortiGate-200F] @Rack_XX","{fwp-gc-10-111-11-243} (10.111.11.243) [FortiGate-200F] @Rack_XX","10.111.11.243","10.111.11.243","4495","4495","5516","5516"
"{fwp-gc-192-168-100-1} (192.168.100.1) [FortiGate-100F] @Rack_XX","{fwp-gc-192-168-100-1} (192.168.100.1) [FortiGate-100F] @Rack_XX","192.168.100.1","192.168.100.1","7699","7699","5516","5516"
"{fwp-jp-172-60-60-191} (172.60.60.191) [FortiGate-100F] @Rack_05 [CDC-105]","{fwp-jp-172-60-60-191} (172.60.60.191) [FortiGate-100F] @Rack_05 [CDC-105]","172.60.60.191","172.60.60.191","4485","4485","5522","5522"
"{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]","{fwp-jp-172-60-60-193} (172.60.60.193) [FortiGate-100F] @Rack_05 [CDC-105]","172.60.60.193","172.60.60.193","4487","4487","5522","5522"
"{fwp-jp-172-60-60-195} (172.60.60.195) [FortiGate-100F] @Rack_05 [CDC-105]","{fwp-jp-172-60-60-195} (172.60.60.195) [FortiGate-100F] @Rack_05 [CDC-105]","172.60.60.195","172.60.60.195","4489","4489","5522","5522"
"{fwp-jp-172-60-60-21} (172.60.60.21) [FortiGate-80F] @Rack_02 [CDC-105]","{fwp-jp-172-60-60-21} (172.60.60.21) [FortiGate-80F] @Rack_02 [CDC-105]","172.60.60.21","172.60.60.21","4491","4491","5522","5522"
"{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]","{fwp-jp-172-60-60-23} (172.60.60.23) [FortiGate-100F] @Rack_02 [CDC-105]","172.60.60.23","172.60.60.23","4493","4493","5522","5522"
"{fwp-jp-192-168-40-254} (192.168.40.254) [Fortigate-60F] @Rack_03/04 [CDC 104]","{fwp-jp-192-168-40-254} (192.168.40.254) [Fortigate-60F] @Rack_03/04 [CDC 104]","192.168.40.254","192.168.40.254","8488","8488","5522","5522"
"{fwp-tp-10-112-11-241} (10.112.11.241) [FortiGate-200F] @Rack_L16 [TP-GF]","{fwp-tp-10-112-11-241} (10.112.11.241) [FortiGate-200F] @Rack_L16 [TP-GF]","10.112.11.241","10.112.11.241","2688","2688","5495","5495"
"{fwp-tp-10-112-11-245} (10.112.11.245) [FortiGate-200F] @Rack_K13 [TP-GF]","{fwp-tp-10-112-11-245} (10.112.11.245) [FortiGate-200F] @Rack_K13 [TP-GF]","10.112.11.245","10.112.11.245","2692","2692","5495","5495"
"{fws-gc-10-111-11-242} (10.111.11.242) [FortiGate-100F] @Rack_XX","{fws-gc-10-111-11-242} (10.111.11.242) [FortiGate-100F] @Rack_XX","10.111.11.242","10.111.11.242","4498","4498","5516","5516"
"{fws-gc-10-111-11-244} (10.111.11.244) [FortiGate-200F] @Rack_XX","{fws-gc-10-111-11-244} (10.111.11.244) [FortiGate-200F] @Rack_XX","10.111.11.244","10.111.11.244","4496","4496","5516","5516"
"{fws-jp-172-60-60-192} (172.60.60.192) [FortiGate-100F] @Rack_06 [CDC-105]","{fws-jp-172-60-60-192} (172.60.60.192) [FortiGate-100F] @Rack_06 [CDC-105]","172.60.60.192","172.60.60.192","4486","4486","5522","5522"
"{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]","{fws-jp-172-60-60-194} (172.60.60.194) [FortiGate-100F] @Rack_06 [CDC-105]","172.60.60.194","172.60.60.194","4488","4488","5522","5522"
"{fws-jp-172-60-60-196} (172.60.60.196) [FortiGate-100F] @Rack_06 [CDC-105]","{fws-jp-172-60-60-196} (172.60.60.196) [FortiGate-100F] @Rack_06 [CDC-105]","172.60.60.196","172.60.60.196","4490","4490","5522","5522"
"{fws-jp-172-60-60-22} (172.60.60.22) [FortiGate-80F] @Rack_03 [CDC-105]","{fws-jp-172-60-60-22} (172.60.60.22) [FortiGate-80F] @Rack_03 [CDC-105]","172.60.60.22","172.60.60.22","4492","4492","5522","5522"
"{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]","{fws-jp-172-60-60-24} (172.60.60.24) [FortiGate-100F] @Rack_03 [CDC-105]","172.60.60.24","172.60.60.24","4494","4494","5522","5522"
"{fws-tp-10-112-11-242} (10.112.11.242) [FortiGate-200F] @Rack_L15 [TP-GF]","{fws-tp-10-112-11-242} (10.112.11.242) [FortiGate-200F] @Rack_L15 [TP-GF]","10.112.11.242","10.112.11.242","2690","2690","5495","5495"
"{fws-tp-10-112-11-243} (10.112.11.243) [FortiGate-100F] @Rack_K16 [TP-GF]","{fws-tp-10-112-11-243} (10.112.11.243) [FortiGate-100F] @Rack_K16 [TP-GF]","10.112.11.243","10.112.11.243","2700","2700","5495","5495"
"{fws-tp-10-112-11-244} (10.112.11.244) [FortiGate-100F] @Rack_K17 [TP-GF]","{fws-tp-10-112-11-244} (10.112.11.244) [FortiGate-100F] @Rack_K17 [TP-GF]","10.112.11.244","10.112.11.244","2702","2702","5495","5495"
"{fws-tp-10-112-11-246} (10.112.11.246) [FortiGate-200F] @Rack_L15 [TP-GF]","{fws-tp-10-112-11-246} (10.112.11.246) [FortiGate-200F] @Rack_L15 [TP-GF]","10.112.11.246","10.112.11.246","2693","2693","5495","5495"
"{fws-tp-192-168-101-1} (192.168.101.1) [FortiGate-60F] @Rack_L16 [TP-GF]","{fws-tp-192-168-101-1} (192.168.101.1) [FortiGate-60F] @Rack_L16 [TP-GF]","192.168.101.1","192.168.101.1","2696","2696","5495","5495"
"{iil-sw-gc-192.168.100.232} (192.168.100.232) [Cisco-WS-C3750X-48P-S] @Rack_XX","{iil-sw-gc-192.168.100.232} (192.168.100.232) [Cisco-WS-C3750X-48P-S] @Rack_XX","192.168.100.232","192.168.100.232","5201","5201","5513","5513"
"{iil-sw-jp-172-60-60-231} (172.60.60.231) [ CISCO-WS-C2960S-48TD-L ] @Rack_XX","{iil-sw-jp-172-60-60-231} (172.60.60.231) [ CISCO-WS-C2960S-48TD-L ] @Rack_XX","172.60.60.231","172.60.60.231","5252","5252","5519","5519"
"{iil-sw-jp-172-60-60-232} (172.60.60.232) [CISCO-WS-C2960S-48TD-L] @Rack_06 [CDC-105]","{iil-sw-jp-172-60-60-232} (172.60.60.232) [CISCO-WS-C2960S-48TD-L] @Rack_06 [CDC-105]","172.60.60.232","172.60.60.232","5253","5253","5519","5519"
"{iil-sw-jp-172-60-60-233} (172.60.60.233) [CISCO-WS-C2960S-48TD-L] @Rack_MUX [CDC-101]","{iil-sw-jp-172-60-60-233} (172.60.60.233) [CISCO-WS-C2960S-48TD-L] @Rack_MUX [CDC-101]","172.60.60.233","172.60.60.233","5565","5565","5519","5519"
"{iil-sw-jp-172-60-60-234} (172.60.60.234) [CISCO-WS-C2960S-48TD-L] @Rack_MUX [CDC-101]","{iil-sw-jp-172-60-60-234} (172.60.60.234) [CISCO-WS-C2960S-48TD-L] @Rack_MUX [CDC-101]","172.60.60.234","172.60.60.234","5566","5566","5519","5519"
"{iil-sw-jp-172-60-60-237} (172.60.60.237) [CISCO-WS-C2960S-48TD-L] @Rack_05 [CDC-105]","{iil-sw-jp-172-60-60-237} (172.60.60.237) [CISCO-WS-C2960S-48TD-L] @Rack_05 [CDC-105]","172.60.60.237","172.60.60.237","5567","5567","5519","5519"
"{iil-sw-jp-172-60-60-238} (172.60.60.238) [CISCO-WS-C2960S-48TD-L] @Rack_06 [CDC-105]","{iil-sw-jp-172-60-60-238} (172.60.60.238) [CISCO-WS-C2960S-48TD-L] @Rack_06 [CDC-105]","172.60.60.238","172.60.60.238","5568","5568","5519","5519"
"{ill-sw-gc-192.168.100.231} (192.168.100.231) [Cisco-WS-C3750X-48T-L] @Rack_XX","{ill-sw-gc-192.168.100.231} (192.168.100.231) [Cisco-WS-C3750X-48T-L] @Rack_XX","192.168.100.231","192.168.100.231","5200","5200","5513","5513"
"{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF]","{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF]","192.168.101.231","192.168.101.231","5132","5132","5493","5493"
"{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF]","{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF]","192.168.101.232","192.168.101.232","5133","5133","5493","5493"
"{isp-gc-192-168-100-247} (192.168.100.247) [EdgeCoreS5520-18X] @Rack_D2","{isp-gc-192-168-100-247} (192.168.100.247) [EdgeCoreS5520-18X] @Rack_D2","192.168.100.247","192.168.100.247","3578","3578","5511","5511"
"{isp-gc-192-168-100-248} (192.168.100.248) [EdgeCoreS5520-18X] @Rack_D3","{isp-gc-192-168-100-248} (192.168.100.248) [EdgeCoreS5520-18X] @Rack_D3","192.168.100.248","192.168.100.248","3579","3579","5511","5511"
"{isp-jp-172-60-60-1} (172.60.60.1) [EdgeCoreS5520-18X] @Rack_05 [CDC-105]","{isp-jp-172-60-60-1} (172.60.60.1) [EdgeCoreS5520-18X] @Rack_05 [CDC-105]","172.60.60.1","172.60.60.1","3580","3580","5517","5517"
"{isp-jp-172-60-60-2} (172.60.60.2) [EdgeCoreS5520-18X] @Rack_06 [CDC-105]","{isp-jp-172-60-60-2} (172.60.60.2) [EdgeCoreS5520-18X] @Rack_06 [CDC-105]","172.60.60.2","172.60.60.2","3581","3581","5517","5517"
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @Rack_B4 [TP-1st Floor]","{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @Rack_B4 [TP-1st Floor]","192.168.101.247","192.168.101.247","3005","3005","5483","5483"
"{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor]","{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor]","192.168.101.248","192.168.101.248","2643","2643","5483","5483"
"{isp-wr-gc-192-168-100-221} (192.168.100.221) [MK-CCR1036-8G-2S+] @Rack_D2","{isp-wr-gc-192-168-100-221} (192.168.100.221) [MK-CCR1036-8G-2S+] @Rack_D2","192.168.100.221","192.168.100.221","3893","3893","5512","5512"
"{isp-wr-gc-192-168-100-222) [MK-CCR1036-8G-2S+] @Rack_D3","{isp-wr-gc-192-168-100-222) [MK-CCR1036-8G-2S+] @Rack_D3","192.168.100.222","192.168.100.222","3894","3894","5512","5512"
"{isp-wr-jp-172-60-60-211} (172.60.60.211) [MK-CCR2116-12G-4S+] @Rack_05 [CDC-105]","{isp-wr-jp-172-60-60-211} (172.60.60.211) [MK-CCR2116-12G-4S+] @Rack_05 [CDC-105]","172.60.60.211","172.60.60.211","3887","3887","5518","5518"
"{isp-wr-jp-172-60-60-212} (172.60.60.212) [MK-CCR2116-12G-4S+] @Rack_06 [CDC-105]","{isp-wr-jp-172-60-60-212} (172.60.60.212) [MK-CCR2116-12G-4S+] @Rack_06 [CDC-105]","172.60.60.212","172.60.60.212","3888","3888","5518","5518"
"{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105]","{isp-wr-jp-172-60-60-213} (172.60.60.213) [MK-CCR1036-12G-4S] @Rack_05 [CDC-105]","172.60.60.213","172.60.60.213","3889","3889","5518","5518"
"{isp-wr-jp-172-60-60-214} (172.60.60.214) [MK-CCR1036-12G-4S] @Rack_06 [CDC-105]","{isp-wr-jp-172-60-60-214} (172.60.60.214) [MK-CCR1036-12G-4S] @Rack_06 [CDC-105]","172.60.60.214","172.60.60.214","3890","3890","5518","5518"
"{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor]","{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor]","192.168.101.221","192.168.101.221","3891","3891","5492","5492"
"{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor]","{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor]","192.168.101.222","192.168.101.222","3892","3892","5492","5492"
"{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-]","{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-]","192.168.101.223","192.168.101.223","10099","10099","5492","5492"
"{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-]","{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-]","192.168.101.224","192.168.101.224","10100","10100","5492","5492"
"{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR1009-7G-1C-1S+] @Rack_ [TP-]","{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR1009-7G-1C-1S+] @Rack_ [TP-]","192.168.101.225","192.168.101.225","10101","10101","5492","5492"
"{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR1009-7G-1C-1S+] @Rack_ [TP-]","{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR1009-7G-1C-1S+] @Rack_ [TP-]","192.168.101.226","192.168.101.226","10102","10102","5492","5492"
"{JP-WiFi-40-1} (192.168.99.1) [Make-Model] @Rack_XX","{JP-WiFi-40-1} (192.168.99.1) [Make-Model] @Rack_XX","192.168.99.1","192.168.99.1","7433","7433","5517","5517"
"{mgmt-gc-10-111-11-200} (10.111.11.200) [HUAWEI CE6881-48S6CQ ] @Rack_XX","{mgmt-gc-10-111-11-200} (10.111.11.200) [HUAWEI CE6881-48S6CQ ] @Rack_XX","10.111.11.200","10.111.11.200","5556","5556","5515","5515"
"{mgmt-gc-10-111-11-201} (10.111.11.201) [Cisco-WS-C3750X-48T-L ] @Rack_XX","{mgmt-gc-10-111-11-201} (10.111.11.201) [Cisco-WS-C3750X-48T-L ] @Rack_XX","10.111.11.201","10.111.11.201","5557","5557","5515","5515"
"{mgmt-gc-10-111-11-202} (10.111.11.202) [Cisco-C3KX-PWR-350WAC] @Rack_XX","{mgmt-gc-10-111-11-202} (10.111.11.202) [Cisco-C3KX-PWR-350WAC] @Rack_XX","10.111.11.202","10.111.11.202","5558","5558","5515","5515"
"{mgmt-gc-10-111-11-203) [Cisco-WS-C3750X-48T-S] @Rack_XX","{mgmt-gc-10-111-11-203) [Cisco-WS-C3750X-48T-S] @Rack_XX","10.111.11.203","10.111.11.203","5559","5559","5515","5515"
