Device Name,Sensor ID,Sensor Type
Probe Device,1002,Core Health
Probe Device,1003,Probe Health
Probe Device,1001,System Health
Probe Device,9447,WMI UTC Time
192.168.101.100 (IDRAC - 192.168.101.201),10731,SNMP System Uptime
192.168.101.100 (IDRAC - 192.168.101.201),10730,SNMP Dell PowerEdge System Health
192.168.101.100 (IDRAC - 192.168.101.201),10727,SNMP Dell PowerEdge Physical Disk
192.168.101.100 (IDRAC - 192.168.101.201),10729,SNMP Dell PowerEdge Physical Disk
192.168.101.100 (IDRAC - 192.168.101.201),10728,SNMP Dell PowerEdge Physical Disk
Probe Device,2079,Probe Health
Probe Device,2078,System Health
Probe Device,3577,WMI UTC Time
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3022,Syslog Receiver
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3007,SNMP System Uptime
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",4772,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",4777,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",4785,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",4790,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",4798,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",4804,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",4809,SNMP Custom
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",7940,SNMP Traffic
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",9984,SNMP Traffic
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],3545,Syslog Receiver
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],3575,SNMP System Uptime
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],4773,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],4778,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],4786,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],4791,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],4800,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],4805,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],4810,SNMP Custom
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],7943,SNMP Traffic
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9929,SNMP System Uptime
