Date Time,Traffic Total (Speed),Traffic Total (Speed)(RAW)
09-02-2024 13:40:45 - 13:40:50,54 Mbit/s,6749021.2368
09-02-2024 13:40:50 - 13:40:55,54 Mbit/s,6749039.7132
09-02-2024 13:40:55 - 13:41:00,54 Mbit/s,6749039.7132
09-02-2024 13:41:00 - 13:41:05,54 Mbit/s,6749039.7132
09-02-2024 13:41:05 - 13:41:10,54 Mbit/s,6749039.7132
09-02-2024 13:41:10 - 13:41:15,54 Mbit/s,6749039.7132
09-02-2024 13:41:15 - 13:41:20,54 Mbit/s,6749039.7132
09-02-2024 13:41:20 - 13:41:25,54 Mbit/s,6749039.7132
09-02-2024 13:41:25 - 13:41:30,54 Mbit/s,6749039.7132
09-02-2024 13:41:30 - 13:41:35,54 Mbit/s,6749039.7132
09-02-2024 13:41:35 - 13:41:40,54 Mbit/s,6749039.7132
09-02-2024 13:41:40 - 13:41:45,54 Mbit/s,6749039.7132
09-02-2024 13:41:45 - 13:41:50,55 Mbit/s,6925749.3558
09-02-2024 13:41:50 - 13:41:55,55 Mbit/s,6926103.4833
09-02-2024 13:41:55 - 13:42:00,55 Mbit/s,6926103.4833
09-02-2024 13:42:00 - 13:42:05,55 Mbit/s,6926103.4833
09-02-2024 13:42:05 - 13:42:10,55 Mbit/s,6926103.4833
09-02-2024 13:42:10 - 13:42:15,55 Mbit/s,6926103.4833
09-02-2024 13:42:15 - 13:42:20,55 Mbit/s,6926103.4833
09-02-2024 13:42:20 - 13:42:25,55 Mbit/s,6926103.4833
09-02-2024 13:42:25 - 13:42:30,55 Mbit/s,6926103.4833
09-02-2024 13:42:30 - 13:42:35,55 Mbit/s,6926103.4833
09-02-2024 13:42:35 - 13:42:40,55 Mbit/s,6926103.4833
09-02-2024 13:42:40 - 13:42:45,55 Mbit/s,6926103.4833
09-02-2024 13:42:45 - 13:42:50,57 Mbit/s,7091797.5028
09-02-2024 13:42:50 - 13:42:55,57 Mbit/s,7092130.2217
09-02-2024 13:42:55 - 13:43:00,57 Mbit/s,7092130.2217
09-02-2024 13:43:00 - 13:43:05,57 Mbit/s,7092130.2217
09-02-2024 13:43:05 - 13:43:10,57 Mbit/s,7092130.2217
09-02-2024 13:43:10 - 13:43:15,57 Mbit/s,7092130.2217
09-02-2024 13:43:15 - 13:43:20,57 Mbit/s,7092130.2217
09-02-2024 13:43:20 - 13:43:25,57 Mbit/s,7092130.2217
09-02-2024 13:43:25 - 13:43:30,57 Mbit/s,7092130.2217
09-02-2024 13:43:30 - 13:43:35,57 Mbit/s,7092130.2217
09-02-2024 13:43:35 - 13:43:40,57 Mbit/s,7092130.2217
09-02-2024 13:43:40 - 13:43:45,57 Mbit/s,7092130.2217
09-02-2024 13:43:45 - 13:43:50,56 Mbit/s,6987649.7697
09-02-2024 13:43:50 - 13:43:55,56 Mbit/s,6987440.3901
09-02-2024 13:43:55 - 13:44:00,56 Mbit/s,6987440.3901
09-02-2024 13:44:00 - 13:44:05,56 Mbit/s,6987440.3901
09-02-2024 13:44:05 - 13:44:10,56 Mbit/s,6987440.3901
