Sensor ID,Device Name
3022,Unknown Device
3545,Unknown Device
10086,Unknown Device
10694,Unknown Device
10695,Unknown Device
10696,Unknown Device
10697,Unknown Device
5199,Unknown Device
5195,Unknown Device
2782,Unknown Device
2896,Unknown Device
2975,Unknown Device
3530,Unknown Device
3541,Unknown Device
2928,Unknown Device
5015,Unknown Device
2931,Unknown Device
2932,Unknown Device
10356,Unknown Device
10359,Unknown Device
5014,Unknown Device
5018,Unknown Device
5131,Unknown Device
9754,Unknown Device
5088,Unknown Device
3471,Unknown Device
3446,Unknown Device
10616,Unknown Device
10622,Unknown Device
10629,Unknown Device
10347,Unknown Device
10346,Unknown Device
10896,Unknown Device
10897,Unknown Device
5593,Unknown Device
3609,Unknown Device
4690,Unknown Device
4691,Unknown Device
5244,Unknown Device
5251,Unknown Device
5594,Unknown Device
5597,Unknown Device
5599,Unknown Device
5601,Unknown Device
5603,Unknown Device
5605,Unknown Device
5607,Unknown Device
5609,Unknown Device
5611,Unknown Device
5613,Unknown Device
5615,Unknown Device
5617,Unknown Device
9890,Unknown Device
9878,Unknown Device
3616,Unknown Device
3615,Unknown Device
4707,Unknown Device
4693,Unknown Device
4694,Unknown Device
4695,Unknown Device
7990,Unknown Device
8003,Unknown Device
8016,Unknown Device
8022,Unknown Device
5344,Unknown Device
5319,Unknown Device
5623,Unknown Device
5625,Unknown Device
5627,Unknown Device
5629,Unknown Device
5631,Unknown Device
5633,Unknown Device
5635,Unknown Device
5637,Unknown Device
8585,Unknown Device
8586,Unknown Device
8366,Unknown Device
8367,Unknown Device
9115,Unknown Device
9116,Unknown Device
10573,Unknown Device
10575,Unknown Device
10577,Unknown Device
10579,Unknown Device
10647,Unknown Device
10858,Unknown Device
5639,Unknown Device
5641,Unknown Device
5643,Unknown Device
5645,Unknown Device
5647,Unknown Device
5649,Unknown Device
5651,Unknown Device
5653,Unknown Device
5655,Unknown Device
5657,Unknown Device
5659,Unknown Device
5661,Unknown Device
5685,Unknown Device
8489,Unknown Device
10886,Unknown Device
10887,Unknown Device
10345,Unknown Device
10344,Unknown Device
9424,Unknown Device
9423,Unknown Device
9522,Unknown Device
9523,Unknown Device
10076,Unknown Device
9597,Unknown Device
9555,Unknown Device
10364,Unknown Device
9600,Unknown Device
10463,Unknown Device
9580,Unknown Device
9585,Unknown Device
9589,Unknown Device
