Sensor ID,ids,
2155,id1,id1=2155
2156,id2,id2=2156
5907,id3,id3=5907
5569,id4,id4=5569
5570,id5,id5=5570
2189,id6,id6=2189
2190,id7,id7=2190
2191,id8,id8=2191
2196,id9,id9=2196
6966,id10,id10=6966
6207,id11,id11=6207
6209,id12,id12=6209
5908,id13,id13=5908
2224,id14,id14=2224
2225,id15,id15=2225
2235,id16,id16=2235
2245,id17,id17=2245
2246,id18,id18=2246
6632,id19,id19=6632
6658,id20,id20=6658
2251,id21,id21=2251
2253,id22,id22=2253
6483,id23,id23=6483
6968,id24,id24=6968
2257,id25,id25=2257
2258,id26,id26=2258
6192,id27,id27=6192
6193,id28,id28=6193
6745,id29,id29=6745
6105,id30,id30=6105
2282,id31,id31=2282
2283,id32,id32=2283
2284,id33,id33=2284
2285,id34,id34=2285
7095,id35,id35=7095
7096,id36,id36=7096
6604,id37,id37=6604
6700,id38,id38=6700
7099,id39,id39=7099
7100,id40,id40=7100
5913,id41,id41=5913
6639,id42,id42=6639
7137,id43,id43=7137
7138,id44,id44=7138
7139,id45,id45=7139
5877,id46,id46=5877
5878,id47,id47=5878
6177,id48,id48=6177
6178,id49,id49=6178
6185,id50,id50=6185
6186,id51,id51=6186
7091,id52,id52=7091
7092,id53,id53=7092
2565,id54,id54=2565
2566,id55,id55=2566
5890,id56,id56=5890
5891,id57,id57=5891
6701,id58,id58=6701
7085,id59,id59=7085
7086,id60,id60=7086
2489,id61,id61=2489
6461,id62,id62=6461
6462,id63,id63=6462
6463,id64,id64=6463
6464,id65,id65=6464
6460,id66,id66=6460
6636,id67,id67=6636
7039,id68,id68=7039
7052,id69,id69=7052
7053,id70,id70=7053
7054,id71,id71=7054
7055,id72,id72=7055
7056,id73,id73=7056
7057,id74,id74=7057
7058,id75,id75=7058
7059,id76,id76=7059
7060,id77,id77=7060
7061,id78,id78=7061
7111,id79,id79=7111
7112,id80,id80=7112
7113,id81,id81=7113
7114,id82,id82=7114
7044,id83,id83=7044
7045,id84,id84=7045
7046,id85,id85=7046
7047,id86,id86=7047
7048,id87,id87=7048
7049,id88,id88=7049
7050,id89,id89=7050
7051,id90,id90=7051
7116,id91,id91=7116
7121,id92,id92=7121
7122,id93,id93=7122
2637,id94,id94=2637
6173,id95,id95=6173
6174,id96,id96=6174
5886,id97,id97=5886
5887,id98,id98=5887
6188,id99,id99=6188
6189,id100,id100=6189
6436,id101,id101=6436
6437,id102,id102=6437
6438,id103,id103=6438
6439,id104,id104=6439
6372,id105,id105=6372
6370,id106,id106=6370
6444,id107,id107=6444
6796,id108,id108=6796
6443,id109,id109=6443
6819,id110,id110=6819
7125,id111,id111=7125
7126,id112,id112=7126
7127,id113,id113=7127
7128,id114,id114=7128
7129,id115,id115=7129
7130,id116,id116=7130
7131,id117,id117=7131
7132,id118,id118=7132
7133,id119,id119=7133
7134,id120,id120=7134
7135,id121,id121=7135
7136,id122,id122=7136
5906,id123,id123=5906
2688,id124,id124=2688
2697,id125,id125=2697
2701,id126,id126=2701
2703,id127,id127=2703
2707,id128,id128=2707
2710,id129,id129=2710
2711,id130,id130=2711
2712,id131,id131=2712
2713,id132,id132=2713
2715,id133,id133=2715
6094,id134,id134=6094
2718,id135,id135=2718
2720,id136,id136=2720
2721,id137,id137=2721
2723,id138,id138=2723
6455,id139,id139=6455
2724,id140,id140=2724
2725,id141,id141=2725
2699,id142,id142=2699
6089,id143,id143=6089
6090,id144,id144=6090
2765,id145,id145=2765
6807,id146,id146=6807
2843,id147,id147=2843
2845,id148,id148=2845
2849,id149,id149=2849
2851,id150,id150=2851
6157,id151,id151=6157
2853,id152,id152=2853
2855,id153,id153=2855
6808,id154,id154=6808
2929,id155,id155=2929
6683,id156,id156=6683
6665,id157,id157=6665
3043,id158,id158=3043
3046,id159,id159=3046
3047,id160,id160=3047
5565,id161,id161=5565
3050,id162,id162=3050
3071,id163,id163=3071
4970,id164,id164=4970
4971,id165,id165=4971
6664,id166,id166=6664
3333,id167,id167=3333
3334,id168,id168=3334
3110,id169,id169=3110
3103,id170,id170=3103
6710,id171,id171=6710
3125,id172,id172=3125
3126,id173,id173=3126
3127,id174,id174=3127
3133,id175,id175=3133
3134,id176,id176=3134
6711,id177,id177=6711
6714,id178,id178=6714
3358,id179,id179=3358
3364,id180,id180=3364
3284,id181,id181=3284
3285,id182,id182=3285
3287,id183,id183=3287
3297,id184,id184=3297
3298,id185,id185=3298
6703,id186,id186=6703
3167,id187,id187=3167
3168,id188,id188=3168
4995,id189,id189=4995
4996,id190,id190=4996
4997,id191,id191=4997
4998,id192,id192=4998
3395,id193,id193=3395
3396,id194,id194=3396
3405,id195,id195=3405
3261,id196,id196=3261
3263,id197,id197=3263
6008,id198,id198=6008
6009,id199,id199=6009
5500,id200,id200=5500
5501,id201,id201=5501
6810,id202,id202=6810
